time,customer_no,location
08:01:00,62,drinks
08:02:00,55,checkout
08:02:00,60,dairy
08:02:00,61,spices
08:02:00,62,drinks
08:02:00,63,spices
08:03:00,60,dairy
08:03:00,61,spices
08:03:00,62,drinks
08:03:00,63,checkout
08:03:00,64,spices
08:04:00,60,dairy
08:04:00,61,spices
08:04:00,62,drinks
08:04:00,64,spices
08:04:00,65,dairy
08:05:00,60,dairy
08:05:00,61,checkout
08:05:00,62,drinks
08:05:00,64,spices
08:05:00,65,checkout
08:05:00,66,drinks
08:06:00,60,dairy
08:06:00,62,checkout
08:06:00,64,dairy
08:06:00,66,drinks
08:06:00,67,fruit
08:07:00,60,dairy
08:07:00,64,dairy
08:07:00,66,drinks
08:07:00,67,checkout
08:07:00,68,spices
08:08:00,60,dairy
08:08:00,64,dairy
08:08:00,66,spices
08:08:00,68,dairy
08:08:00,69,spices
08:09:00,60,dairy
08:09:00,64,checkout
08:09:00,66,spices
08:09:00,68,spices
08:09:00,69,fruit
08:09:00,70,dairy
08:10:00,60,dairy
08:10:00,66,drinks
08:10:00,68,dairy
08:10:00,69,drinks
08:10:00,70,checkout
08:10:00,71,drinks
08:11:00,60,fruit
08:11:00,66,drinks
08:11:00,68,dairy
08:11:00,69,drinks
08:11:00,71,drinks
08:11:00,72,fruit
08:12:00,60,fruit
08:12:00,66,drinks
08:12:00,68,dairy
08:12:00,69,drinks
08:12:00,71,drinks
08:12:00,72,checkout
08:12:00,73,dairy
08:13:00,60,checkout
08:13:00,66,checkout
08:13:00,68,dairy
08:13:00,69,checkout
08:13:00,71,checkout
08:13:00,73,dairy
08:13:00,74,spices
08:14:00,66,checkout
08:14:00,68,checkout
08:14:00,71,checkout
08:14:00,73,dairy
08:14:00,74,checkout
08:14:00,75,dairy
08:15:00,68,checkout
08:15:00,73,fruit
08:15:00,75,dairy
08:15:00,76,spices
08:16:00,73,fruit
08:16:00,75,dairy
08:16:00,76,spices
08:16:00,77,fruit
08:17:00,73,fruit
08:17:00,75,dairy
08:17:00,76,dairy
08:17:00,77,fruit
08:17:00,78,fruit
08:18:00,73,fruit
08:18:00,75,dairy
08:18:00,76,dairy
08:18:00,77,drinks
08:18:00,78,fruit
08:18:00,79,dairy
08:19:00,73,drinks
08:19:00,75,dairy
08:19:00,76,dairy
08:19:00,77,drinks
08:19:00,78,fruit
08:19:00,79,dairy
08:19:00,80,spices
08:20:00,73,checkout
08:20:00,75,dairy
08:20:00,76,fruit
08:20:00,77,drinks
08:20:00,78,dairy
08:20:00,79,dairy
08:20:00,80,drinks
08:20:00,81,dairy
08:21:00,75,dairy
08:21:00,76,checkout
08:21:00,77,drinks
08:21:00,78,dairy
08:21:00,79,dairy
08:21:00,80,fruit
08:21:00,81,dairy
08:21:00,82,drinks
08:22:00,75,fruit
08:22:00,77,drinks
08:22:00,78,dairy
08:22:00,79,dairy
08:22:00,80,fruit
08:22:00,81,dairy
08:22:00,82,drinks
08:22:00,83,fruit
08:23:00,75,fruit
08:23:00,77,drinks
08:23:00,78,dairy
08:23:00,79,dairy
08:23:00,80,fruit
08:23:00,81,dairy
08:23:00,82,drinks
08:23:00,83,checkout
08:23:00,84,fruit
08:24:00,75,fruit
08:24:00,77,drinks
08:24:00,78,dairy
08:24:00,79,fruit
08:24:00,80,dairy
08:24:00,81,checkout
08:24:00,82,checkout
08:24:00,84,fruit
08:24:00,85,drinks
08:25:00,75,spices
08:25:00,77,drinks
08:25:00,78,checkout
08:25:00,79,drinks
08:25:00,80,dairy
08:25:00,82,checkout
08:25:00,84,fruit
08:25:00,85,drinks
08:25:00,86,drinks
08:26:00,75,spices
08:26:00,77,drinks
08:26:00,79,fruit
08:26:00,80,drinks
08:26:00,84,checkout
08:26:00,85,drinks
08:26:00,86,drinks
08:26:00,87,dairy
08:27:00,75,spices
08:27:00,77,drinks
08:27:00,79,checkout
08:27:00,80,spices
08:27:00,85,drinks
08:27:00,86,drinks
08:27:00,87,dairy
08:27:00,88,dairy
08:28:00,75,fruit
08:28:00,77,checkout
08:28:00,80,fruit
08:28:00,85,checkout
08:28:00,86,spices
08:28:00,87,dairy
08:28:00,88,drinks
08:28:00,89,fruit
08:29:00,75,checkout
08:29:00,80,fruit
08:29:00,86,drinks
08:29:00,87,dairy
08:29:00,88,drinks
08:29:00,89,fruit
08:29:00,90,spices
08:30:00,80,fruit
08:30:00,86,drinks
08:30:00,87,dairy
08:30:00,88,drinks
08:30:00,89,checkout
08:30:00,90,drinks
08:30:00,91,fruit
08:31:00,80,checkout
08:31:00,86,drinks
08:31:00,87,dairy
08:31:00,88,drinks
08:31:00,90,checkout
08:31:00,91,fruit
08:31:00,92,spices
08:32:00,86,drinks
08:32:00,87,dairy
08:32:00,88,drinks
08:32:00,91,checkout
08:32:00,92,dairy
08:32:00,93,drinks
08:33:00,86,drinks
08:33:00,87,spices
08:33:00,88,drinks
08:33:00,92,checkout
08:33:00,93,spices
08:33:00,94,fruit
08:34:00,86,spices
08:34:00,87,spices
08:34:00,88,checkout
08:34:00,93,spices
08:34:00,94,fruit
08:34:00,95,dairy
08:35:00,86,spices
08:35:00,87,spices
08:35:00,93,dairy
08:35:00,94,fruit
08:35:00,95,dairy
08:35:00,96,dairy
08:36:00,86,spices
08:36:00,87,fruit
08:36:00,93,dairy
08:36:00,94,fruit
08:36:00,95,dairy
08:36:00,96,drinks
08:36:00,97,spices
08:37:00,86,spices
08:37:00,87,checkout
08:37:00,93,dairy
08:37:00,94,fruit
08:37:00,95,dairy
08:37:00,96,spices
08:37:00,97,spices
08:37:00,98,spices
08:38:00,86,spices
08:38:00,93,spices
08:38:00,94,checkout
08:38:00,95,dairy
08:38:00,96,drinks
08:38:00,97,fruit
08:38:00,98,spices
08:38:00,99,drinks
08:39:00,86,spices
08:39:00,93,spices
08:39:00,95,spices
08:39:00,96,drinks
08:39:00,97,checkout
08:39:00,98,checkout
08:39:00,99,drinks
08:39:00,100,drinks
08:40:00,86,spices
08:40:00,93,dairy
08:40:00,95,drinks
08:40:00,96,drinks
08:40:00,98,checkout
08:40:00,99,drinks
08:40:00,100,fruit
08:40:00,101,dairy
08:41:00,86,spices
08:41:00,93,drinks
08:41:00,95,drinks
08:41:00,96,drinks
08:41:00,99,drinks
08:41:00,100,spices
08:41:00,101,spices
08:41:00,102,fruit
08:42:00,86,spices
08:42:00,93,checkout
08:42:00,95,drinks
08:42:00,96,drinks
08:42:00,99,checkout
08:42:00,100,fruit
08:42:00,101,drinks
08:42:00,102,checkout
08:42:00,103,fruit
08:43:00,86,spices
08:43:00,95,drinks
08:43:00,96,drinks
08:43:00,100,fruit
08:43:00,101,fruit
08:43:00,103,checkout
08:43:00,104,drinks
08:44:00,86,dairy
08:44:00,95,drinks
08:44:00,96,checkout
08:44:00,100,spices
08:44:00,101,checkout
08:44:00,104,drinks
08:44:00,105,spices
08:45:00,86,checkout
08:45:00,95,drinks
08:45:00,100,checkout
08:45:00,104,drinks
08:45:00,105,spices
08:45:00,106,fruit
08:46:00,95,drinks
08:46:00,104,drinks
08:46:00,105,checkout
08:46:00,106,fruit
08:46:00,107,drinks
08:47:00,95,fruit
08:47:00,104,drinks
08:47:00,106,checkout
08:47:00,107,drinks
08:47:00,108,dairy
08:48:00,95,fruit
08:48:00,104,checkout
08:48:00,107,drinks
08:48:00,108,dairy
08:48:00,109,dairy
08:49:00,95,checkout
08:49:00,107,checkout
08:49:00,108,dairy
08:49:00,109,fruit
08:49:00,110,spices
08:50:00,107,checkout
08:50:00,108,checkout
08:50:00,109,drinks
08:50:00,110,spices
08:50:00,111,drinks
08:51:00,108,checkout
08:51:00,109,drinks
08:51:00,110,spices
08:51:00,111,drinks
08:51:00,112,fruit
08:52:00,109,drinks
08:52:00,110,checkout
08:52:00,111,checkout
08:52:00,112,checkout
08:52:00,113,dairy
08:53:00,109,checkout
08:53:00,111,checkout
08:53:00,113,dairy
08:53:00,114,drinks
08:54:00,111,checkout
08:54:00,113,dairy
08:54:00,114,drinks
08:54:00,115,dairy
08:55:00,113,dairy
08:55:00,114,drinks
08:55:00,115,drinks
08:55:00,116,spices
08:56:00,113,checkout
08:56:00,114,checkout
08:56:00,115,dairy
08:56:00,116,spices
08:56:00,117,fruit
08:57:00,114,checkout
08:57:00,115,fruit
08:57:00,116,dairy
08:57:00,117,fruit
08:57:00,118,dairy
08:58:00,115,fruit
08:58:00,116,dairy
08:58:00,117,dairy
08:58:00,118,drinks
08:58:00,119,fruit
08:59:00,115,fruit
08:59:00,116,dairy
08:59:00,117,dairy
08:59:00,118,checkout
08:59:00,119,fruit
08:59:00,120,dairy
09:00:00,115,fruit
09:00:00,116,dairy
09:00:00,117,dairy
09:00:00,119,fruit
09:00:00,120,dairy
09:00:00,121,dairy
09:01:00,115,dairy
09:01:00,116,dairy
09:01:00,117,dairy
09:01:00,119,fruit
09:01:00,120,checkout
09:01:00,121,dairy
09:01:00,122,fruit
09:02:00,115,dairy
09:02:00,116,dairy
09:02:00,117,dairy
09:02:00,119,fruit
09:02:00,121,dairy
09:02:00,122,fruit
09:02:00,123,spices
09:03:00,115,dairy
09:03:00,116,checkout
09:03:00,117,dairy
09:03:00,119,fruit
09:03:00,121,dairy
09:03:00,122,fruit
09:03:00,123,spices
09:03:00,124,drinks
09:04:00,115,dairy
09:04:00,117,dairy
09:04:00,119,checkout
09:04:00,121,dairy
09:04:00,122,fruit
09:04:00,123,spices
09:04:00,124,drinks
09:04:00,125,spices
09:05:00,115,drinks
09:05:00,117,dairy
09:05:00,121,dairy
09:05:00,122,checkout
09:05:00,123,spices
09:05:00,124,drinks
09:05:00,125,dairy
09:05:00,126,dairy
09:06:00,115,spices
09:06:00,117,dairy
09:06:00,121,dairy
09:06:00,123,dairy
09:06:00,124,spices
09:06:00,125,dairy
09:06:00,126,dairy
09:06:00,127,drinks
09:07:00,115,fruit
09:07:00,117,fruit
09:07:00,121,spices
09:07:00,123,dairy
09:07:00,124,dairy
09:07:00,125,dairy
09:07:00,126,dairy
09:07:00,127,checkout
09:07:00,128,fruit
09:08:00,115,dairy
09:08:00,117,fruit
09:08:00,121,dairy
09:08:00,123,drinks
09:08:00,124,dairy
09:08:00,125,dairy
09:08:00,126,dairy
09:08:00,128,fruit
09:08:00,129,spices
09:09:00,115,dairy
09:09:00,117,fruit
09:09:00,121,drinks
09:09:00,123,drinks
09:09:00,124,dairy
09:09:00,125,checkout
09:09:00,126,dairy
09:09:00,128,dairy
09:09:00,129,spices
09:09:00,130,fruit
09:10:00,115,dairy
09:10:00,117,fruit
09:10:00,121,checkout
09:10:00,123,drinks
09:10:00,124,checkout
09:10:00,126,spices
09:10:00,128,spices
09:10:00,129,fruit
09:10:00,130,dairy
09:10:00,131,spices
09:11:00,115,dairy
09:11:00,117,fruit
09:11:00,123,drinks
09:11:00,126,spices
09:11:00,128,spices
09:11:00,129,spices
09:11:00,130,dairy
09:11:00,131,spices
09:11:00,132,drinks
09:12:00,115,spices
09:12:00,117,dairy
09:12:00,123,checkout
09:12:00,126,spices
09:12:00,128,spices
09:12:00,129,dairy
09:12:00,130,dairy
09:12:00,131,drinks
09:12:00,132,drinks
09:12:00,133,spices
09:13:00,115,fruit
09:13:00,117,dairy
09:13:00,126,checkout
09:13:00,128,spices
09:13:00,129,dairy
09:13:00,130,dairy
09:13:00,131,drinks
09:13:00,132,checkout
09:13:00,133,checkout
09:13:00,134,dairy
09:14:00,115,spices
09:14:00,117,dairy
09:14:00,128,dairy
09:14:00,129,checkout
09:14:00,130,dairy
09:14:00,131,checkout
09:14:00,133,checkout
09:14:00,134,dairy
09:14:00,135,dairy
09:15:00,115,checkout
09:15:00,117,dairy
09:15:00,128,dairy
09:15:00,130,fruit
09:15:00,133,checkout
09:15:00,134,dairy
09:15:00,135,dairy
09:15:00,136,spices
09:16:00,117,dairy
09:16:00,128,checkout
09:16:00,130,dairy
09:16:00,134,dairy
09:16:00,135,dairy
09:16:00,136,spices
09:16:00,137,spices
09:17:00,117,dairy
09:17:00,130,dairy
09:17:00,134,dairy
09:17:00,135,spices
09:17:00,136,checkout
09:17:00,137,spices
09:17:00,138,drinks
09:18:00,117,dairy
09:18:00,130,drinks
09:18:00,134,drinks
09:18:00,135,spices
09:18:00,137,dairy
09:18:00,138,drinks
09:18:00,139,drinks
09:19:00,117,checkout
09:19:00,130,drinks
09:19:00,134,checkout
09:19:00,135,drinks
09:19:00,137,dairy
09:19:00,138,drinks
09:19:00,139,checkout
09:19:00,140,drinks
09:20:00,130,checkout
09:20:00,135,drinks
09:20:00,137,dairy
09:20:00,138,drinks
09:20:00,140,drinks
09:20:00,141,dairy
09:21:00,135,drinks
09:21:00,137,spices
09:21:00,138,drinks
09:21:00,140,drinks
09:21:00,141,dairy
09:21:00,142,fruit
09:22:00,135,drinks
09:22:00,137,checkout
09:22:00,138,spices
09:22:00,140,drinks
09:22:00,141,dairy
09:22:00,142,fruit
09:22:00,143,fruit
09:23:00,135,spices
09:23:00,138,spices
09:23:00,140,drinks
09:23:00,141,dairy
09:23:00,142,fruit
09:23:00,143,checkout
09:23:00,144,fruit
09:24:00,135,spices
09:24:00,138,spices
09:24:00,140,drinks
09:24:00,141,dairy
09:24:00,142,fruit
09:24:00,144,fruit
09:24:00,145,spices
09:25:00,135,drinks
09:25:00,138,spices
09:25:00,140,drinks
09:25:00,141,dairy
09:25:00,142,checkout
09:25:00,144,checkout
09:25:00,145,spices
09:25:00,146,fruit
09:26:00,135,drinks
09:26:00,138,drinks
09:26:00,140,drinks
09:26:00,141,dairy
09:26:00,144,checkout
09:26:00,145,spices
09:26:00,146,spices
09:26:00,147,fruit
09:27:00,135,drinks
09:27:00,138,fruit
09:27:00,140,checkout
09:27:00,141,dairy
09:27:00,145,spices
09:27:00,146,checkout
09:27:00,147,fruit
09:27:00,148,drinks
09:28:00,135,spices
09:28:00,138,checkout
09:28:00,141,dairy
09:28:00,145,spices
09:28:00,147,fruit
09:28:00,148,drinks
09:28:00,149,drinks
09:29:00,135,spices
09:29:00,141,dairy
09:29:00,145,dairy
09:29:00,147,drinks
09:29:00,148,drinks
09:29:00,149,spices
09:29:00,150,drinks
09:30:00,135,drinks
09:30:00,141,dairy
09:30:00,145,dairy
09:30:00,147,drinks
09:30:00,148,drinks
09:30:00,149,checkout
09:30:00,150,drinks
09:30:00,151,fruit
09:31:00,135,drinks
09:31:00,141,dairy
09:31:00,145,dairy
09:31:00,147,drinks
09:31:00,148,checkout
09:31:00,150,drinks
09:31:00,151,dairy
09:31:00,152,drinks
09:32:00,135,drinks
09:32:00,141,dairy
09:32:00,145,fruit
09:32:00,147,drinks
09:32:00,150,drinks
09:32:00,151,dairy
09:32:00,152,drinks
09:32:00,153,drinks
09:33:00,135,checkout
09:33:00,141,dairy
09:33:00,145,fruit
09:33:00,147,checkout
09:33:00,150,checkout
09:33:00,151,dairy
09:33:00,152,drinks
09:33:00,153,drinks
09:33:00,154,dairy
09:34:00,141,spices
09:34:00,145,checkout
09:34:00,150,checkout
09:34:00,151,dairy
09:34:00,152,fruit
09:34:00,153,drinks
09:34:00,154,dairy
09:34:00,155,spices
09:35:00,141,spices
09:35:00,150,checkout
09:35:00,151,checkout
09:35:00,152,fruit
09:35:00,153,drinks
09:35:00,154,fruit
09:35:00,155,dairy
09:35:00,156,spices
09:36:00,141,spices
09:36:00,151,checkout
09:36:00,152,checkout
09:36:00,153,drinks
09:36:00,154,checkout
09:36:00,155,dairy
09:36:00,156,spices
09:36:00,157,drinks
09:37:00,141,spices
09:37:00,152,checkout
09:37:00,153,drinks
09:37:00,155,dairy
09:37:00,156,dairy
09:37:00,157,drinks
09:37:00,158,spices
09:38:00,141,drinks
09:38:00,153,drinks
09:38:00,155,dairy
09:38:00,156,dairy
09:38:00,157,drinks
09:38:00,158,spices
09:38:00,159,drinks
09:39:00,141,drinks
09:39:00,153,drinks
09:39:00,155,dairy
09:39:00,156,checkout
09:39:00,157,drinks
09:39:00,158,dairy
09:39:00,159,checkout
09:39:00,160,drinks
09:40:00,141,drinks
09:40:00,153,checkout
09:40:00,155,dairy
09:40:00,157,drinks
09:40:00,158,drinks
09:40:00,160,checkout
09:40:00,161,dairy
09:41:00,141,spices
09:41:00,155,dairy
09:41:00,157,drinks
09:41:00,158,spices
09:41:00,161,dairy
09:41:00,162,dairy
09:42:00,141,dairy
09:42:00,155,checkout
09:42:00,157,checkout
09:42:00,158,checkout
09:42:00,161,dairy
09:42:00,162,dairy
09:42:00,163,spices
09:43:00,141,dairy
09:43:00,157,checkout
09:43:00,161,dairy
09:43:00,162,spices
09:43:00,163,spices
09:43:00,164,fruit
09:44:00,141,dairy
09:44:00,161,dairy
09:44:00,162,checkout
09:44:00,163,dairy
09:44:00,164,fruit
09:44:00,165,spices
09:45:00,141,dairy
09:45:00,161,fruit
09:45:00,163,dairy
09:45:00,164,drinks
09:45:00,165,drinks
09:45:00,166,spices
09:46:00,141,dairy
09:46:00,161,checkout
09:46:00,163,dairy
09:46:00,164,spices
09:46:00,165,checkout
09:46:00,166,spices
09:46:00,167,dairy
09:47:00,141,dairy
09:47:00,163,dairy
09:47:00,164,dairy
09:47:00,166,drinks
09:47:00,167,checkout
09:47:00,168,fruit
09:48:00,141,dairy
09:48:00,163,dairy
09:48:00,164,fruit
09:48:00,166,drinks
09:48:00,168,fruit
09:48:00,169,dairy
09:49:00,141,drinks
09:49:00,163,dairy
09:49:00,164,checkout
09:49:00,166,drinks
09:49:00,168,fruit
09:49:00,169,fruit
09:49:00,170,drinks
09:50:00,141,spices
09:50:00,163,dairy
